PAIS: USA, SECCION: cases
Fecha: 6/28/20, Casos: 2557223
Fecha: 6/29/20, Casos: 2598741
Fecha: 6/30/20, Casos: 2648797
Fecha: 7/1/20, Casos: 2698127
Fecha: 7/2/20, Casos: 2753211
Fecha: 7/3/20, Casos: 2804869
Fecha: 7/4/20, Casos: 2850893
Fecha: 7/5/20, Casos: 2904843
Fecha: 7/6/20, Casos: 2948475
Fecha: 7/7/20, Casos: 3005888
Fecha: 7/8/20, Casos: 3066392
Fecha: 7/9/20, Casos: 3126224
Fecha: 7/10/20, Casos: 3194746
Fecha: 7/11/20, Casos: 3255187
Fecha: 7/12/20, Casos: 3315407
Fecha: 7/13/20, Casos: 3375032
Fecha: 7/14/20, Casos: 3440789
Fecha: 7/15/20, Casos: 3507088
Fecha: 7/16/20, Casos: 3577862
Fecha: 7/17/20, Casos: 3644284
Fecha: 7/18/20, Casos: 3708609
Fecha: 7/19/20, Casos: 3767602
Fecha: 7/20/20, Casos: 3828458
Fecha: 7/21/20, Casos: 3896753
Fecha: 7/22/20, Casos: 3964203
Fecha: 7/23/20, Casos: 4031970
Fecha: 7/24/20, Casos: 4106919
Fecha: 7/25/20, Casos: 4170674
Fecha: 7/26/20, Casos: 4226305
Fecha: 7/27/20, Casos: 4286302
Fecha: 7/28/20, Casos: 4350866
Fecha: 7/29/20, Casos: 4414918
Fecha: 7/30/20, Casos: 4484122
Fecha: 7/31/20, Casos: 4548497
Fecha: 8/1/20, Casos: 4605921
Fecha: 8/2/20, Casos: 4652810
Fecha: 8/3/20, Casos: 4694706
Fecha: 8/4/20, Casos: 4756327
Fecha: 8/5/20, Casos: 4810464
Fecha: 8/6/20, Casos: 4870500
Fecha: 8/7/20, Casos: 4930941
Fecha: 8/8/20, Casos: 4994708
Fecha: 8/9/20, Casos: 5048871
Fecha: 8/10/20, Casos: 5100508
Fecha: 8/11/20, Casos: 5157384
Fecha: 8/12/20, Casos: 5212606
Fecha: 8/13/20, Casos: 5264052
Fecha: 8/14/20, Casos: 5334124
Fecha: 8/15/20, Casos: 5386449
Fecha: 8/16/20, Casos: 5421026
Fecha: 8/17/20, Casos: 5459023
Fecha: 8/18/20, Casos: 5503998
Fecha: 8/19/20, Casos: 5549913
Fecha: 8/20/20, Casos: 5595048
Fecha: 8/21/20, Casos: 5642948
Fecha: 8/22/20, Casos: 5688219
Fecha: 8/23/20, Casos: 5720122
Fecha: 8/24/20, Casos: 5754213
Fecha: 8/25/20, Casos: 5796775
Fecha: 8/26/20, Casos: 5838967
Fecha: 8/27/20, Casos: 5889404
Fecha: 8/28/20, Casos: 5935724
Fecha: 8/29/20, Casos: 5978795
Fecha: 8/30/20, Casos: 6012963
Fecha: 8/31/20, Casos: 6046489
Fecha: 9/1/20, Casos: 6088458
Fecha: 9/2/20, Casos: 6128576
Fecha: 9/3/20, Casos: 6173787
Fecha: 9/4/20, Casos: 6222446
Fecha: 9/5/20, Casos: 6265684
Fecha: 9/6/20, Casos: 6294762
Fecha: 9/7/20, Casos: 6319464
Fecha: 9/8/20, Casos: 6346567
Fecha: 9/9/20, Casos: 6380418
Fecha: 9/10/20, Casos: 6420040
Fecha: 9/11/20, Casos: 6464865
Fecha: 9/12/20, Casos: 6510480
Fecha: 9/13/20, Casos: 6550788
Fecha: 9/14/20, Casos: 6583689
Fecha: 9/15/20, Casos: 6621128
Fecha: 9/16/20, Casos: 6659477
Fecha: 9/17/20, Casos: 6704918
Fecha: 9/18/20, Casos: 6755145
Fecha: 9/19/20, Casos: 6800800
Fecha: 9/20/20, Casos: 6842405
Fecha: 9/21/20, Casos: 6874665
Fecha: 9/22/20, Casos: 6912973
Fecha: 9/23/20, Casos: 6954203
Fecha: 9/24/20, Casos: 7003200
Fecha: 9/25/20, Casos: 7050826
Fecha: 9/26/20, Casos: 7094716
Fecha: 9/27/20, Casos: 7128423
Fecha: 9/28/20, Casos: 7164994
Fecha: 9/29/20, Casos: 7207284
Fecha: 9/30/20, Casos: 7246200
Fecha: 10/1/20, Casos: 7292562
Fecha: 10/2/20, Casos: 7346109
Fecha: 10/3/20, Casos: 7395489
Fecha: 10/4/20, Casos: 7428859
Fecha: 10/5/20, Casos: 7466806
Fecha: 10/6/20, Casos: 7511827
Fecha: 10/7/20, Casos: 7561294
Fecha: 10/8/20, Casos: 7619507
Fecha: 10/9/20, Casos: 7674838
Fecha: 10/10/20, Casos: 7730092
Fecha: 10/11/20, Casos: 7776972
Fecha: 10/12/20, Casos: 7819927
Fecha: 10/13/20, Casos: 7870523
Fecha: 10/14/20, Casos: 7929694
Fecha: 10/15/20, Casos: 7993556
Fecha: 10/16/20, Casos: 8063866
Fecha: 10/17/20, Casos: 8118716
Fecha: 10/18/20, Casos: 8171010
Fecha: 10/19/20, Casos: 8239747
Fecha: 10/20/20, Casos: 8302318
Fecha: 10/21/20, Casos: 8363743
Fecha: 10/22/20, Casos: 8443959
Fecha: 10/23/20, Casos: 8526091
Fecha: 10/24/20, Casos: 8604190
Fecha: 10/25/20, Casos: 8664567
Fecha: 10/26/20, Casos: 8729037
Fecha: 10/27/20, Casos: 8808014
Fecha: 10/28/20, Casos: 8896402
Fecha: 10/29/20, Casos: 8989081
Fecha: 10/30/20, Casos: 9089580
Fecha: 10/31/20, Casos: 9176352
Fecha: 11/1/20, Casos: 9254490
Fecha: 11/2/20, Casos: 9338428
Fecha: 11/3/20, Casos: 9465330
Fecha: 11/4/20, Casos: 9567399
Fecha: 11/5/20, Casos: 9697431
Fecha: 11/6/20, Casos: 9826558
Fecha: 11/7/20, Casos: 9953780
Fecha: 11/8/20, Casos: 10073148
Fecha: 11/9/20, Casos: 10192673
Fecha: 11/10/20, Casos: 10331774
Fecha: 11/11/20, Casos: 10481333
Fecha: 11/12/20, Casos: 10640976
Fecha: 11/13/20, Casos: 10819737
Fecha: 11/14/20, Casos: 10982694
Fecha: 11/15/20, Casos: 11121208
Fecha: 11/16/20, Casos: 11276945
Fecha: 11/17/20, Casos: 11444297
Fecha: 11/18/20, Casos: 11617713
Fecha: 11/19/20, Casos: 11809680
Fecha: 11/20/20, Casos: 12010765
Fecha: 11/21/20, Casos: 12188369
Fecha: 11/22/20, Casos: 12333604
Fecha: 11/23/20, Casos: 12517890
Fecha: 11/24/20, Casos: 12692858
Fecha: 11/25/20, Casos: 12874109
Fecha: 11/26/20, Casos: 12987020
Fecha: 11/27/20, Casos: 13202222
Fecha: 11/28/20, Casos: 13369711
Fecha: 11/29/20, Casos: 13509384
Fecha: 11/30/20, Casos: 13667915
Fecha: 12/1/20, Casos: 13866746
Fecha: 12/2/20, Casos: 14063762
Fecha: 12/3/20, Casos: 14283185
Fecha: 12/4/20, Casos: 14518319
Fecha: 12/5/20, Casos: 14738242
Fecha: 12/6/20, Casos: 14916373
Fecha: 12/7/20, Casos: 15112614
Fecha: 12/8/20, Casos: 15340113
Fecha: 12/9/20, Casos: 15555848
Fecha: 12/10/20, Casos: 15791625
Fecha: 12/11/20, Casos: 16028527
Fecha: 12/12/20, Casos: 16251283
Fecha: 12/13/20, Casos: 16441925
Fecha: 12/14/20, Casos: 16652286
Fecha: 12/15/20, Casos: 16879507
Fecha: 12/16/20, Casos: 17113650
Fecha: 12/17/20, Casos: 17352824
Fecha: 12/18/20, Casos: 17599264
Fecha: 12/19/20, Casos: 17804289
Fecha: 12/20/20, Casos: 17990458
Fecha: 12/21/20, Casos: 18187883
Fecha: 12/22/20, Casos: 18393673
Fecha: 12/23/20, Casos: 18614460
Fecha: 12/24/20, Casos: 18826055
Fecha: 12/25/20, Casos: 18951579
Fecha: 12/26/20, Casos: 19169547
Fecha: 12/27/20, Casos: 19305730
Fecha: 12/28/20, Casos: 19480363
Fecha: 12/29/20, Casos: 19687204
Fecha: 12/30/20, Casos: 19905952
Fecha: 12/31/20, Casos: 20219878
Fecha: 1/1/21, Casos: 20397398
Fecha: 1/2/21, Casos: 20670022
Fecha: 1/3/21, Casos: 20873235
Fecha: 1/4/21, Casos: 21059968
Fecha: 1/5/21, Casos: 21292110
Fecha: 1/6/21, Casos: 21551825
Fecha: 1/7/21, Casos: 21836888
Fecha: 1/8/21, Casos: 22139748
Fecha: 1/9/21, Casos: 22403252
Fecha: 1/10/21, Casos: 22613198
Fecha: 1/11/21, Casos: 22817700
Fecha: 1/12/21, Casos: 23040116
Fecha: 1/13/21, Casos: 23268791
Fecha: 1/14/21, Casos: 23503715
Fecha: 1/15/21, Casos: 23748051
Fecha: 1/16/21, Casos: 23965033
Fecha: 1/17/21, Casos: 24141198
Fecha: 1/18/21, Casos: 24282482
Fecha: 1/19/21, Casos: 24439496
Fecha: 1/20/21, Casos: 24627164
Fecha: 1/21/21, Casos: 24819191
Fecha: 1/22/21, Casos: 25010547
Fecha: 1/23/21, Casos: 25187886
Fecha: 1/24/21, Casos: 25327681
Fecha: 1/25/21, Casos: 25457654
Fecha: 1/26/21, Casos: 25608948
Fecha: 1/27/21, Casos: 25764113
Fecha: 1/28/21, Casos: 25930828
Fecha: 1/29/21, Casos: 26094127
Fecha: 1/30/21, Casos: 26244536
Fecha: 1/31/21, Casos: 26357107
Fecha: 2/1/21, Casos: 26482919
Fecha: 2/2/21, Casos: 26600309
Fecha: 2/3/21, Casos: 26724684
Fecha: 2/4/21, Casos: 26849337
Fecha: 2/5/21, Casos: 26979744
Fecha: 2/6/21, Casos: 27096024
Fecha: 2/7/21, Casos: 27185193
Fecha: 2/8/21, Casos: 27268355
Fecha: 2/9/21, Casos: 27364113
Fecha: 2/10/21, Casos: 27459808
Fecha: 2/11/21, Casos: 27565960
Fecha: 2/12/21, Casos: 27665519
Fecha: 2/13/21, Casos: 27755867
Fecha: 2/14/21, Casos: 27824057
Fecha: 2/15/21, Casos: 27880161
Fecha: 2/16/21, Casos: 27939999
Fecha: 2/17/21, Casos: 28009004
Fecha: 2/18/21, Casos: 28081254
Fecha: 2/19/21, Casos: 28156128
Fecha: 2/20/21, Casos: 28229709
Fecha: 2/21/21, Casos: 28284962
Fecha: 2/22/21, Casos: 28341018
Fecha: 2/23/21, Casos: 28414848
Fecha: 2/24/21, Casos: 28489829
Fecha: 2/25/21, Casos: 28566889
Fecha: 2/26/21, Casos: 28641812
Fecha: 2/27/21, Casos: 28712642
Fecha: 2/28/21, Casos: 28764298
Fecha: 3/1/21, Casos: 28814420
Fecha: 3/2/21, Casos: 28873096
Fecha: 3/3/21, Casos: 28940164
Fecha: 3/4/21, Casos: 29008605
Fecha: 3/5/21, Casos: 29075787
Fecha: 3/6/21, Casos: 29136550
Fecha: 3/7/21, Casos: 29178094
Fecha: 3/8/21, Casos: 29222842
Fecha: 3/9/21, Casos: 29278673
Fecha: 3/10/21, Casos: 29336393
Fecha: 3/11/21, Casos: 29398148
Fecha: 3/12/21, Casos: 29460422
Fecha: 3/13/21, Casos: 29516680
Fecha: 3/14/21, Casos: 29555246
Fecha: 3/15/21, Casos: 29606783
Fecha: 3/16/21, Casos: 29661862
Fecha: 3/17/21, Casos: 29721741
Fecha: 3/18/21, Casos: 29783944
Fecha: 3/19/21, Casos: 29844854
Fecha: 3/20/21, Casos: 29903121
Fecha: 3/21/21, Casos: 29938533
Fecha: 3/22/21, Casos: 29986970
Fecha: 3/23/21, Casos: 30039696
Fecha: 3/24/21, Casos: 30127521
Fecha: 3/25/21, Casos: 30194910
Fecha: 3/26/21, Casos: 30271054
Fecha: 3/27/21, Casos: 30334846
Fecha: 3/28/21, Casos: 30381218
Fecha: 3/29/21, Casos: 30447861
Fecha: 3/30/21, Casos: 30510083
Fecha: 3/31/21, Casos: 30579485
Fecha: 4/1/21, Casos: 30656330
Fecha: 4/2/21, Casos: 30730194
Fecha: 4/3/21, Casos: 30794703
Fecha: 4/4/21, Casos: 30832570
Fecha: 4/5/21, Casos: 30900794
Fecha: 4/6/21, Casos: 30964189
Fecha: 4/7/21, Casos: 31039928
Fecha: 4/8/21, Casos: 31119772
Fecha: 4/9/21, Casos: 31204184
Fecha: 4/10/21, Casos: 31274548
Fecha: 4/11/21, Casos: 31321879
Fecha: 4/12/21, Casos: 31385081
Fecha: 4/13/21, Casos: 31465794
Fecha: 4/14/21, Casos: 31540756
Fecha: 4/15/21, Casos: 31614984
Fecha: 4/16/21, Casos: 31697732
Fecha: 4/17/21, Casos: 31753116
Fecha: 4/18/21, Casos: 31796939
Fecha: 4/19/21, Casos: 31856774
Fecha: 4/20/21, Casos: 31919203
Fecha: 4/21/21, Casos: 31983893
Fecha: 4/22/21, Casos: 32050106
Fecha: 4/23/21, Casos: 32112756
Fecha: 4/24/21, Casos: 32167063
Fecha: 4/25/21, Casos: 32201471
Fecha: 4/26/21, Casos: 32244759
Fecha: 4/27/21, Casos: 32296816
Fecha: 4/28/21, Casos: 32352650
Fecha: 4/29/21, Casos: 32410329
Fecha: 4/30/21, Casos: 32468055
Fecha: 5/1/21, Casos: 32516226
Fecha: 5/2/21, Casos: 32546822
Fecha: 5/3/21, Casos: 32592222
Fecha: 5/4/21, Casos: 32634949
Fecha: 5/5/21, Casos: 32680744
Fecha: 5/6/21, Casos: 32726689
Fecha: 5/7/21, Casos: 32774854
Fecha: 5/8/21, Casos: 32809818
Fecha: 5/9/21, Casos: 32832557
Fecha: 5/10/21, Casos: 32865353
